Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2013-03-06 00:00:00-05:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,51500,0.0,0.0,0.0,True
2013-03-07 00:00:00-05:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,100000,0.0,0.0,0.0,True
2013-03-08 00:00:00-05:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,40000,0.0,0.0,0.0,True
2013-03-11 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-12 00:00:00-04:00,5.999999865889549,5.999999865889549,5.999999865889549,5.999999865889549,50350,0.0,0.0,0.0,True
2013-03-13 00:00:00-04:00,5.499999970197678,5.999999865889549,5.499999970197678,5.499999970197678,62000,0.0,0.0,0.0,True
2013-03-14 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,9500,0.0,0.0,0.0,True
2013-03-15 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-18 00:00:00-04:00,5.999999865889549,5.999999865889549,5.499999970197678,5.499999970197678,26000,0.0,0.0,0.0,True
2013-03-19 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-20 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,100000,0.0,0.0,0.0,True
2013-03-21 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-22 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-25 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-26 00:00:00-04:00,5.499999970197678,5.499999970197678,5.499999970197678,5.499999970197678,0,0.0,0.0,0.0,True
2013-03-27 00:00:00-04:00,5.499999970197678,5.499999970197678,5.000000074505806,5.000000074505806,13000,0.0,0.0,0.0,True
